,fold-1_pred,fold-1_true,fold-2_pred,fold-2_true,fold-3_pred,fold-3_true,fold-4_pred,fold-4_true,fold-5_pred,fold-5_true
0,0.8495279,0.8549635197877512,0.4354681,0.4362149016139729,0.4320451,0.2978111872650899,0.6223674,0.49340408283587545,0.43691683,0.725035006264279
1,0.84263736,0.8579851131255065,0.46239328,0.4292873461566806,0.42737213,0.2956002653106342,0.6276801,0.502911047240032,0.42369872,0.7312255877367528
2,0.85009444,0.8596064558921075,0.44790974,0.4227282776917969,0.41845837,0.2916206057926156,0.618728,0.5124917090426702,0.42102107,0.7361633134350356
3,0.8383123,0.8612277986587076,0.44189864,0.4162429066253961,0.43154502,0.28601960350799605,0.6221531,0.5217775812513819,0.408134,0.742869776696883
4,0.8407012,0.8626280492298624,0.4324414,0.41056820694229446,0.4374724,0.2793868376446309,0.62364995,0.5311371508585743,0.41536587,0.749502542560248
5,0.8343876,0.8640282998010176,0.44753885,0.40378804628196585,0.43057147,0.27282776917974805,0.6304294,0.5415284840445138,0.43322876,0.7546613604539756
6,0.8292191,0.8639546024025355,0.44251817,0.39892401798216515,0.4294051,0.26700567469968317,0.6261238,0.5511828432456332,0.4204008,0.7584936251750314
7,0.83742315,0.8629965362222718,0.43356523,0.39597612204289234,0.4369568,0.25934114525757224,0.6318473,0.5603213206573812,0.42404446,0.7619574029036777
8,0.8295709,0.861154101260226,0.4340347,0.39398629228388193,0.43243098,0.24953939125948832,0.621608,0.5704178642493924,0.42116103,0.7635050482717962
9,0.8214922,0.8592379688996976,0.44490063,0.3917016729309455,0.41764677,0.2406220060431863,0.6366699,0.5788930650748028,0.41292542,0.7659370624216963
10,0.82074744,0.8577640209300612,0.44737232,0.3903014223597907,0.41270927,0.23229420001473944,0.63564646,0.5850099491487954,0.40894052,0.7666740364065148
11,0.81656826,0.8548161249907884,0.42431375,0.38971184317193597,0.42426202,0.22374530179084684,0.6360315,0.5916427150121595,0.42791,0.7673373129928511
12,0.8143358,0.8512786498636595,0.43536592,0.3872061316235538,0.43328807,0.21527010096543586,0.6290877,0.5967278355074068,0.4338361,0.7670425233989238
13,0.8097911,0.8470042007517131,0.44023222,0.38499520966909806,0.42740345,0.2083425455081438,0.6278821,0.6006337976269438,0.41961095,0.7658633650232143
14,0.8103978,0.8436141204215497,0.43830296,0.3834475643009805,0.42485467,0.2028152406220063,0.63585794,0.6036553909646987,0.40841806,0.7639472326626868
15,0.8148731,0.8388974869187114,0.43126598,0.38182622153437995,0.42961937,0.19721423833738672,0.6394842,0.6069717738963818,0.40893975,0.7604097575355588
16,0.80262786,0.8338860638219474,0.45047885,0.3809418527525974,0.42962518,0.192350210037586,0.6380985,0.6100670646326187,0.42137703,0.758198835581104
17,0.80589956,0.8282850615373278,0.43969706,0.3791731151890332,0.42494377,0.19043407767705767,0.6326019,0.6128675657749283,0.42573866,0.7537032942737123
18,0.793001,0.8212101112830714,0.42082465,0.37902572039206994,0.42944956,0.1892549193013484,0.6344388,0.6136045397597463,0.42653716,0.7494288451617654
19,0.79647,0.8121453312698059,0.422965,0.37696219323457925,0.42145142,0.18807576092563916,0.6408603,0.6127201709779646,0.4373537,0.7456702778391922
20,0.7886735,0.8033016434519866,0.44739655,0.3746775738816428,0.4194052,0.1879283661286757,0.6397021,0.6119831969931457,0.4261833,0.7402166703515363
21,0.7826503,0.794457955634166,0.42963898,0.37202446753629603,0.4384639,0.18741248433930258,0.64263475,0.6107303412189551,0.42875686,0.7353526420517351
22,0.7800587,0.7842877146436726,0.4175021,0.3679711106197949,0.4332374,0.18674920775296577,0.6477274,0.6107303412189551,0.4326645,0.7315203773306802
23,0.7742823,0.7744859606455892,0.4486961,0.36406514850025795,0.43017516,0.1843908910015477,0.6388758,0.608740511459946,0.4175744,0.7271722308202522
24,0.76980054,0.7647579040459873,0.4505145,0.3594222123959021,0.43436897,0.18173778465620183,0.6400115,0.6066769843024544,0.43712923,0.7226766895128605
25,0.76841784,0.7545876630554944,0.43449062,0.35676910605055623,0.42111546,0.1792320731078194,0.648086,0.6049819441373718,0.44280863,0.7182548456039504
26,0.76715755,0.74596506743312,0.44286463,0.35544255287788395,0.43338418,0.1773896381457729,0.64986813,0.6026236273859533,0.41911322,0.7126538433193312
27,0.7473504,0.7372687744122635,0.42072004,0.3541896971036915,0.4296977,0.17584199277765533,0.6462817,0.6021814429950623,0.42421126,0.7064632618468565
28,0.75516456,0.7287935735868527,0.45638245,0.35197877514923714,0.4455592,0.17591569017613629,0.6473627,0.6047608519419265,0.43542236,0.7004937725698279
29,0.74379206,0.7195813987766231,0.4570745,0.34939936620237244,0.43537793,0.1792320731078194,0.6559337,0.6172157122853563,0.43484595,0.6943768884958361
30,0.73757684,0.709337460387649,0.45790136,0.34424054830864437,0.44367123,0.1801901392880827,0.65032136,0.6178789888716927,0.4220948,0.6896602549929982
31,0.736328,0.6985776402093005,0.45326117,0.33937652000884366,0.42747134,0.18461198319699323,0.64899695,0.6258383079077308,0.45904228,0.6835433709190064
32,0.736051,0.6878915174294344,0.45717156,0.335691650084752,0.4468054,0.2180706021077452,0.6525884,0.6346082983270693,0.43810314,0.6775001842434958
33,0.73924404,0.6766895128601962,0.44840908,0.3317119905667325,0.45366362,0.22448227577566526,0.64909226,0.6413884589873975,0.44766098,0.6732257351315498
34,0.7187403,0.6661507848772943,0.45773593,0.32802712064264083,0.44028515,0.23000958066180277,0.65716225,0.6464735794826444,0.43500873,0.669024983418085
35,0.70828074,0.6551698725035,0.46776366,0.322647210553467,0.45319346,0.2405483086447051,0.6521679,0.6500847520082544,0.44202605,0.6647505343061391
36,0.7120009,0.6408725771980248,0.46378613,0.3164566290809936,0.434802,0.25197140540938867,0.6603222,0.6534011349399362,0.4371683,0.6609182695850833
37,0.7076505,0.6276807428697766,0.44993743,0.31004495541307353,0.46001658,0.2628786203847,0.65464723,0.6555383594959094,0.45328364,0.656864912668583
38,0.6914846,0.6166261330975016,0.467861,0.3043702557299728,0.4541013,0.2732699535706382,0.65536165,0.656054241285283,0.45844996,0.6531800427444914
39,0.69752425,0.6045397597464812,0.4499177,0.2978111872650899,0.45257097,0.28196624659149494,0.6551894,0.6581177684427741,0.44361556,0.6494951728203993
40,0.68251634,0.5922322942000147,0.4634803,0.2902940526199429,0.4479635,0.2884516176578966,0.6608003,0.6590021372245558,0.4639154,0.6460313950917538
41,0.68523616,0.5813250792247033,0.45824298,0.28329279976416855,0.44523078,0.2949369887242983,0.6598047,0.660328690397229,0.46905303,0.6428624069570348
42,0.68290913,0.5711548382342109,0.46286613,0.2801975090279316,0.46478713,0.29913774043776264,0.66595775,0.6637187707273928,0.45980775,0.6421254329722164
43,0.66117525,0.5608372024467534,0.450749,0.2776181000810669,0.4566955,0.3101923502100372,0.65876156,0.6674773380499661,0.43935895,0.6413147615889159
