,ACC,MSE,RMSE,MAE,R2
0,0.024480560461776452,0.12264832132981218,0.3265098442332491,0.29451968381258825,-1.9900456918649927
1,0.01526509441269879,0.15609989503696126,0.3626234216313738,0.33314903519298067,-2.613100224366394
2,0.031099739797099603,0.12837269687723382,0.33252779444481145,0.30033469005059776,-2.0204261700205333
3,0.013012909126660194,0.15802958840263553,0.36822007934665,0.33820722536002035,-2.597462318752846
4,0.018265562625774154,0.12755674944076775,0.3365229123844174,0.30500866404227833,-1.9338366970074023
5,0.010277029567573235,0.14049081159226381,0.3560957767238494,0.32485157781475443,-2.166018096677448
6,0.014283000001412843,0.13188507511219089,0.3424165245894192,0.30921853005225053,-1.9224729450711144
7,0.013071511139447167,0.1533958107655728,0.37161885595217836,0.3397409109146874,-2.3456039592201883
8,0.013269632130386599,0.14416373447791436,0.36353726233295397,0.3307830985064071,-2.1250674510274257
9,0.013249119629141914,0.16062195271918572,0.36931034629364257,0.33608131317776097,-2.3475639266472696
10,0.00851589148717761,0.13407624940384125,0.34782096084602887,0.3133829523305642,-1.8293509443642182
11,0.019015873550199184,0.14224603993426127,0.3548546580590221,0.320052281878292,-1.9504582023976513
12,0.010001936517961949,0.1516147163734189,0.36941763994294885,0.3354806185196236,-2.1183183474051503
13,0.00943391725364712,0.1384018998970303,0.3550140329329762,0.318845640622747,-1.8525982706217128
14,0.00664480387541933,0.15787369711184882,0.374014819395821,0.3377272688855711,-2.1887928702664268
15,0.0282474993601588,0.1413830924150032,0.35434262589944426,0.31707531152472673,-1.855553556144362
16,0.023719970687782997,0.1371510443585583,0.35071558460377616,0.31250522743907116,-1.7593615506117928
17,0.013045532006173024,0.15564575643756803,0.37249787534668904,0.33554770486151825,-2.09787286571248
18,0.017287712942494354,0.1498223268529107,0.3637456998778297,0.32693289877905685,-1.961515207366125
19,0.016620761260107135,0.157789139466534,0.3759777984439066,0.33806216173165493,-2.087245879587441
20,0.020557112567869504,0.13913063454116997,0.35454374770892266,0.31417138409747986,-1.7088078284764632
21,0.021473434321388513,0.13713638245595913,0.35216059319520443,0.31165270979989673,-1.653602774576021
